source_file_path,output_file_path,status,timestamp
J:\Screenshots\Knott_Ancestry\Knott\1921_022-E002880409.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\1921_022-E002880409_dewarped.jpg,dewarped,2026-07-26T02:52:21.771114+00:00
J:\Screenshots\Knott_Ancestry\Knott\1931_174-e011707164.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\1931_174-e011707164_dewarped.jpg,dewarped,2026-07-26T02:52:45.168428+00:00
J:\Screenshots\Knott_Ancestry\Knott\30807_A000676-00099(1).jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\30807_A000676-00099(1)_dewarped.jpg,dewarped,2026-07-26T02:53:12.940623+00:00
J:\Screenshots\Knott_Ancestry\Knott\31228_4363955-00089.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\31228_4363955-00089_dewarped.jpg,dewarped,2026-07-26T02:53:44.592344+00:00
J:\Screenshots\Knott_Ancestry\Knott\CANIMM1913PLIST_2000908421-00487.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\CANIMM1913PLIST_2000908421-00487_dewarped.jpg,dewarped,2026-07-26T02:54:58.211944+00:00
J:\Screenshots\Knott_Ancestry\Knott\CR-271-25_bx10-v2_M_00164.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\CR-271-25_bx10-v2_M_00164_dewarped.jpg,dewarped,2026-07-26T02:55:23.318737+00:00
J:\Screenshots\Knott_Ancestry\Knott\e003558130(1).jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e003558130(1)_dewarped.jpg,dewarped,2026-07-26T02:55:44.973819+00:00
J:\Screenshots\Knott_Ancestry\Knott\e003558130.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e003558130_dewarped.jpg,dewarped,2026-07-26T02:57:05.736136+00:00
J:\Screenshots\Knott_Ancestry\Knott\e003559198.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e003559198_dewarped.jpg,dewarped,2026-07-26T02:57:34.198701+00:00
J:\Screenshots\Knott_Ancestry\Knott\e003566165.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e003566165_dewarped.jpg,dewarped,2026-07-26T02:58:28.223812+00:00
J:\Screenshots\Knott_Ancestry\Knott\e003667909.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e003667909_dewarped.jpg,dewarped,2026-07-26T02:58:53.609916+00:00
J:\Screenshots\Knott_Ancestry\Knott\e003686369.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e003686369_dewarped.jpg,dewarped,2026-07-26T04:15:26.853033+00:00
J:\Screenshots\Knott_Ancestry\Knott\e078_e001946617.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\e078_e001946617_dewarped.jpg,dewarped,2026-07-26T04:15:48.890847+00:00
J:\Screenshots\Knott_Ancestry\Knott\http___data2.collectionscanada.gc.ca_1911_jpg_e001946617.jpg.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\http___data2.collectionscanada.gc.ca_1911_jpg_e001946617.jpg_dewarped.jpg,dewarped,2026-07-26T04:16:11.893777+00:00
J:\Screenshots\Knott_Ancestry\Knott\image(1).jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\image(1)_dewarped.jpg,dewarped,2026-07-26T04:16:37.937567+00:00
J:\Screenshots\Knott_Ancestry\Knott\image(3).jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\image(3)_dewarped.jpg,dewarped,2026-07-26T04:17:16.731832+00:00
J:\Screenshots\Knott_Ancestry\Knott\IMCANQC1865_T4821-00622.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\IMCANQC1865_T4821-00622_dewarped.jpg,dewarped,2026-07-26T04:17:45.526311+00:00
J:\Screenshots\Knott_Ancestry\Knott\ONS_B18432IS-0218.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\ONS_B18432IS-0218_dewarped.jpg,dewarped,2026-07-26T04:18:03.204417+00:00
J:\Screenshots\Knott_Ancestry\Knott\S3HY-65JC-4X.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\S3HY-65JC-4X_dewarped.jpg,dewarped,2026-07-26T04:18:29.385157+00:00
J:\Screenshots\Knott_Ancestry\Knott\S3HY-6LL2-RG.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\S3HY-6LL2-RG_dewarped.jpg,dewarped,2026-07-26T04:18:57.552071+00:00
J:\Screenshots\Knott_Ancestry\Knott\S3HY-6LLL-8L.jpg,J:\Genealogy\genealogy_pipeline\data\outputs\dewarped\S3HY-6LLL-8L_dewarped.jpg,dewarped,2026-07-26T04:19:23.234108+00:00
J:\Screenshots\Knott_Ancestry\Knott\Screenshot 2026-05-03 131559.png,J:\Screenshots\Knott_Ancestry\Knott\Screenshot 2026-05-03 131559.png,bypassed,2026-07-26T04:19:28.327570+00:00
J:\Screenshots\Knott_Ancestry\Knott\Screenshot 2026-05-03 132747.png,J:\Screenshots\Knott_Ancestry\Knott\Screenshot 2026-05-03 132747.png,bypassed,2026-07-26T04:19:29.395701+00:00
J:\Screenshots\Knott_Ancestry\Knott\Screenshot 2026-05-03 194554.png,J:\Screenshots\Knott_Ancestry\Knott\Screenshot 2026-05-03 194554.png,bypassed,2026-07-26T04:19:30.061607+00:00
